feature_original,protection_policy
sectorKey,NEVER_DROP
industryKey,NEVER_DROP
marketCap,NEVER_DROP
enterpriseValue,NEVER_DROP
currentRatio,NEVER_DROP
quickRatio,NEVER_DROP
totalCash,NEVER_DROP
returnOnAssets,NEVER_DROP
returnOnEquity,NEVER_DROP
grossMargins,NEVER_DROP
operatingMargins,NEVER_DROP
profitMargins,NEVER_DROP
totalRevenue,NEVER_DROP
revenueGrowth,NEVER_DROP
grossProfits,NEVER_DROP
ebitda,NEVER_DROP
totalDebt,NEVER_DROP
debtToEquity,NEVER_DROP
operatingCashflow,NEVER_DROP
freeCashflow,NEVER_DROP
BS_Current_Assets,NEVER_DROP
BS_Current_Liabilities,NEVER_DROP
BS_Total_Assets,NEVER_DROP
BS_Accounts_Payable,NEVER_DROP
BS_Accounts_Receivable,NEVER_DROP
IS_Net_Income,NEVER_DROP
