feature_original,feature_clean,protection_policy
sectorKey,sectorKey,NEVER_DROP
industryKey,industryKey,NEVER_DROP
marketCap,marketCap,NEVER_DROP
enterpriseValue,enterpriseValue,NEVER_DROP
currentRatio,currentRatio,NEVER_DROP
quickRatio,quickRatio,NEVER_DROP
totalCash,totalCash,NEVER_DROP
returnOnAssets,returnOnAssets,NEVER_DROP
returnOnEquity,returnOnEquity,NEVER_DROP
grossMargins,grossMargins,NEVER_DROP
operatingMargins,operatingMargins,NEVER_DROP
profitMargins,profitMargins,NEVER_DROP
totalRevenue,totalRevenue,NEVER_DROP
revenueGrowth,revenueGrowth,NEVER_DROP
grossProfits,grossProfits,NEVER_DROP
ebitda,ebitda,NEVER_DROP
totalDebt,totalDebt,NEVER_DROP
debtToEquity,debtToEquity,NEVER_DROP
operatingCashflow,operatingCashflow,NEVER_DROP
freeCashflow,freeCashflow,NEVER_DROP
BS_Current_Assets,BS_Current_Assets,NEVER_DROP
BS_Current_Liabilities,BS_Current_Liabilities,NEVER_DROP
BS_Total_Assets,BS_Total_Assets,NEVER_DROP
BS_Accounts_Payable,BS_Accounts_Payable,NEVER_DROP
BS_Accounts_Receivable,BS_Accounts_Receivable,NEVER_DROP
IS_Net_Income,IS_Net_Income,NEVER_DROP
