clean_column,original_column
Company_Name,Company Name
IDXCode,IDXCode
address1,address1
ask,ask
askSize,askSize
averageDailyVolume10Day,averageDailyVolume10Day
averageDailyVolume3Month,averageDailyVolume3Month
averageVolume,averageVolume
averageVolume10days,averageVolume10days
beta,beta
bid,bid
bidSize,bidSize
bookValue,bookValue
city,city
col_52WeekChange,52WeekChange
compensationAsOfEpochDate,compensationAsOfEpochDate
country,country
currentPrice,currentPrice
customPriceAlertConfidence,customPriceAlertConfidence
dividendRate,dividendRate
dividendYield,dividendYield
earningsCallTimestampEnd,earningsCallTimestampEnd
earningsCallTimestampStart,earningsCallTimestampStart
earningsQuarterlyGrowth,earningsQuarterlyGrowth
earningsTimestamp,earningsTimestamp
earningsTimestampEnd,earningsTimestampEnd
earningsTimestampStart,earningsTimestampStart
epsCurrentYear,epsCurrentYear
epsForward,epsForward
epsTrailingTwelveMonths,epsTrailingTwelveMonths
executiveTeam,executiveTeam
fax,fax
fiftyDayAverage,fiftyDayAverage
fiftyDayAverageChange,fiftyDayAverageChange
fiftyDayAverageChangePercent,fiftyDayAverageChangePercent
fiftyTwoWeekChangePercent,fiftyTwoWeekChangePercent
fiftyTwoWeekHigh,fiftyTwoWeekHigh
fiftyTwoWeekHighChange,fiftyTwoWeekHighChange
fiftyTwoWeekHighChangePercent,fiftyTwoWeekHighChangePercent
fiftyTwoWeekLow,fiftyTwoWeekLow
fiftyTwoWeekLowChange,fiftyTwoWeekLowChange
fiftyTwoWeekLowChangePercent,fiftyTwoWeekLowChangePercent
fiftyTwoWeekRange,fiftyTwoWeekRange
financialCurrency,financialCurrency
firstTradeDateMilliseconds,firstTradeDateMilliseconds
fiveYearAvgDividendYield,fiveYearAvgDividendYield
floatShares,floatShares
forwardEps,forwardEps
forwardPE,forwardPE
heldPercentInsiders,heldPercentInsiders
heldPercentInstitutions,heldPercentInstitutions
impliedSharesOutstanding,impliedSharesOutstanding
ipoExpectedDate,ipoExpectedDate
irWebsite,irWebsite
isEarningsDateEstimate,isEarningsDateEstimate
lastDividendValue,lastDividendValue
lastSplitDate,lastSplitDate
lastSplitFactor,lastSplitFactor
longBusinessSummary,longBusinessSummary
longName,longName
netIncomeToCommon,netIncomeToCommon
officer_10_age,officer_10_age
officer_10_name,officer_10_name
officer_10_title,officer_10_title
officer_10_yearBorn,officer_10_yearBorn
officer_1_age,officer_1_age
officer_1_name,officer_1_name
officer_1_title,officer_1_title
officer_1_yearBorn,officer_1_yearBorn
officer_2_age,officer_2_age
officer_2_name,officer_2_name
officer_2_title,officer_2_title
officer_2_yearBorn,officer_2_yearBorn
officer_3_age,officer_3_age
officer_3_name,officer_3_name
officer_3_title,officer_3_title
officer_3_yearBorn,officer_3_yearBorn
officer_4_age,officer_4_age
officer_4_name,officer_4_name
officer_4_title,officer_4_title
officer_4_yearBorn,officer_4_yearBorn
officer_5_age,officer_5_age
officer_5_name,officer_5_name
officer_5_title,officer_5_title
officer_5_yearBorn,officer_5_yearBorn
officer_6_age,officer_6_age
officer_6_name,officer_6_name
officer_6_title,officer_6_title
officer_6_yearBorn,officer_6_yearBorn
officer_7_age,officer_7_age
officer_7_name,officer_7_name
officer_7_title,officer_7_title
officer_7_yearBorn,officer_7_yearBorn
officer_8_age,officer_8_age
officer_8_name,officer_8_name
officer_8_title,officer_8_title
officer_8_yearBorn,officer_8_yearBorn
officer_9_age,officer_9_age
officer_9_name,officer_9_name
officer_9_title,officer_9_title
officer_9_yearBorn,officer_9_yearBorn
openInterest,openInterest
payoutRatio,payoutRatio
phone,phone
priceEpsCurrentYear,priceEpsCurrentYear
priceToBook,priceToBook
priceToSalesTrailing12Months,priceToSalesTrailing12Months
quoteType,quoteType
recommendationKey,recommendationKey
regularMarketChange,regularMarketChange
regularMarketDayRange,regularMarketDayRange
regularMarketVolume,regularMarketVolume
sector,sector
sectorDisp,sectorDisp
sharesOutstanding,sharesOutstanding
shortName,shortName
symbol,symbol
targetHighPrice,targetHighPrice
targetLowPrice,targetLowPrice
targetMeanPrice,targetMeanPrice
trailingAnnualDividendRate,trailingAnnualDividendRate
trailingAnnualDividendYield,trailingAnnualDividendYield
trailingEps,trailingEps
trailingPE,trailingPE
twoHundredDayAverage,twoHundredDayAverage
twoHundredDayAverageChange,twoHundredDayAverageChange
twoHundredDayAverageChangePercent,twoHundredDayAverageChangePercent
typeDisp,typeDisp
volume,volume
website,website
zip,zip
