,BS_Accounts_Payable,BS_Accounts_Receivable,BS_Additional_Paid_In_Capital,BS_Allowance_For_Doubtful_Accounts_Receivable,BS_Buildings_And_Improvements,BS_Capital_Lease_Obligations,BS_Cash_Cash_Equivalents_And_Short_Term_Investments,BS_Cash_Equivalents,BS_Cash_Financial,BS_Common_Stock,BS_Construction_In_Progress,BS_Current_Assets,BS_Current_Debt_And_Capital_Lease_Obligation,BS_Current_Liabilities,BS_Finished_Goods,BS_Goodwill_And_Other_Intangible_Assets,BS_Gross_PPE,BS_Inventory,BS_Land_And_Improvements,BS_Long_Term_Equity_Investment,BS_Machinery_Furniture_Equipment,BS_Minority_Interest,BS_Net_Debt,BS_Non_Current_Deferred_Taxes_Assets,BS_Non_Current_Deferred_Taxes_Liabilities,BS_Non_Current_Pension_And_Other_Postretirement_Benefit_Plans,BS_Non_Current_Prepaid_Assets,BS_Other_Equity_Interest,BS_Other_Intangible_Assets,BS_Other_Inventories,BS_Other_Non_Current_Assets,BS_Other_Payable,BS_Other_Properties,BS_Other_Receivables,BS_Other_Short_Term_Investments,BS_Payables,BS_Pensionand_Other_Post_Retirement_Benefit_Plans_Current,BS_Prepaid_Assets,BS_Properties,BS_Raw_Materials,BS_Retained_Earnings,BS_Share_Issued,BS_Tangible_Book_Value,BS_Total_Assets,BS_Total_Equity_Gross_Minority_Interest,BS_Total_Non_Current_Assets,BS_Total_Non_Current_Liabilities_Net_Minority_Interest,BS_Total_Tax_Payable,BS_Working_Capital,CF_Capital_Expenditure,CF_Capital_Expenditure_Reported,CF_Cash_Flowsfromusedin_Operating_Activities_Direct,CF_Changes_In_Cash,CF_Classesof_Cash_Payments,CF_Common_Stock_Dividend_Paid,CF_Dividends_Received_Cfi,CF_Dividends_Received_Direct,CF_Effect_Of_Exchange_Rate_Changes,CF_Financing_Cash_Flow,CF_Interest_Paid_Cff,CF_Interest_Paid_Direct,CF_Interest_Received_Cfi,CF_Interest_Received_Direct,CF_Investing_Cash_Flow,CF_Issuance_Of_Capital_Stock,CF_Issuance_Of_Debt,CF_Long_Term_Debt_Issuance,CF_Net_Business_Purchase_And_Sale,CF_Net_Common_Stock_Issuance,CF_Net_Investment_Properties_Purchase_And_Sale,CF_Net_Investment_Purchase_And_Sale,CF_Net_Issuance_Payments_Of_Debt,CF_Net_Other_Financing_Charges,CF_Net_Other_Investing_Changes,CF_Net_Short_Term_Debt_Issuance,CF_Operating_Cash_Flow,CF_Other_Cash_Adjustment_Outside_Changein_Cash,CF_Other_Cash_Paymentsfrom_Operating_Activities,CF_Other_Cash_Receiptsfrom_Operating_Activities,CF_Paymentson_Behalfof_Employees,CF_Purchase_Of_Business,CF_Purchase_Of_Intangibles,CF_Purchase_Of_Investment,CF_Purchase_Of_PPE,CF_Receiptsfrom_Customers,CF_Repayment_Of_Debt,CF_Repurchase_Of_Capital_Stock,CF_Sale_Of_Business,CF_Sale_Of_Intangibles,CF_Sale_Of_Investment_Properties,CF_Sale_Of_PPE,CF_Short_Term_Debt_Issuance,CF_Short_Term_Debt_Payments,CF_Taxes_Refund_Paid_Direct,CR_2023,CR_2024,CYC_2023,CYC_2024,Customer_Acquisition_Age_in_Year,IS_Basic_EPS,IS_EBIT,IS_General_And_Administrative_Expense,IS_Gross_Profit,IS_Interest_Expense,IS_Interest_Expense_Non_Operating,IS_Interest_Income_Non_Operating,IS_Minority_Interests,IS_Net_Income,IS_Net_Interest_Income,IS_Net_Non_Operating_Interest_Income_Expense,IS_Other_Non_Operating_Income_Expenses,IS_Other_Operating_Expenses,IS_Other_Special_Charges,IS_Otherunder_Preferred_Stock_Dividend,IS_Reconciled_Depreciation,IS_Rent_And_Landing_Fees,IS_Rent_Expense_Supplemental,IS_Selling_And_Marketing_Expense,IS_Selling_General_And_Administration,IS_Tax_Effect_Of_Unusual_Items,IS_Tax_Rate_For_Calcs,IS_Total_Operating_Income_As_Reported,IS_Total_Other_Finance_Cost,IS_Total_Unusual_Items_Excluding_Goodwill,IS_Write_Off,Revenue_2023,Revenue_2024,SandP52WeekChange,currentRatio,debtToEquity,earningsGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,freeCashflow,fullTimeEmployees,grossMargins,grossProfits,hasRiskOfficer,industryKey,lastDividendDate,lastFiscalYearEnd,marketCap,maxAge,mostRecentQuarter,operatingCashflow,operatingMargins,priceHint,profitMargins,quickRatio,regularMarketChangePercent,regularMarketPreviousClose,regularMarketTime,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,sectorKey,totalCash,totalCashPerShare,totalDebt,totalRevenue
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-257045743.0,-25376372020,273023097.0,7312956599.0,-69285156944.5,-72025000000.0,7671008151.0,324228464000.0,-66497.0,7183211002.0,-20220555789.5,-9014617.0,15774227000.0,1616006581.5,-143277500.0,33609250.0,311765721272.0,105000000000.0,-1223416.0,47107.0,0.0,-5239250.5,7767685950.0,-1166792000.0,-5470556.0,7767685950.0,192271500000,-1.0,-538111.0,3913850.0,-43823261.5,-5624500000.0,-1838571319.0,-33672694000.0,-257045743.0,66155608558.5,0.0,-8608855906.5,638308.0,1000000000,27300000.0,113768243.0,233336394357.5,0.0,1789115285.0,0.9753504084224355,0.9969924812030075,0.9751645953436447,0.9969924812030075,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1558957013.0,1446642768.0,0.12792087,1.257,140.462,1.25,7265397.0,0.06431,18962.307,1219.503,137768697856.0,-3589468.0,8567.0,0.09082,10260210.0,0,apparel-manufacturing,1689033600.0,1735603200.0,131227082752.0,86400.0,1743379200.0,-864242.0,0.060689997,2.0,0.01957,0.601,0.0,102.0,1751618564.0,0.040359996,0.08243,0.13,0.089,consumer-cyclical,3720625.0,0.003,39429316.0,112971160.0
275,55101064639.0,128246014690.0,259248208686.0,-3480804794.0,1033504888678.0,66522354697.0,257355688450.0,99346197657.0,158009490793.0,427296427900.0,20827080132.0,549530386245.0,93347193630.0,395475016117.0,17881857591.0,23253831331.0,1344244416478.0,19516684628.0,40986846006.0,21188655070.0,183083492640.0,23041003341.0,,8831608154.0,,34035123327.0,2475241624.0,6436271161.0,3253831331.0,1102344098.0,2564667185.0,8498441647.0,65842109022.0,30488327940.0,,115675436137.0,,39715604876.0,0.0,532482939.0,-54020305008.0,4272964279.0,635706771408.0,1212007835218.0,682001606080.0,662477448973.0,134531213021.0,52075929851.0,154055370128.0,-38851392520.0,-25376372020,170147954846.0,19910912797.0,-1215262380352.0,-237780425000.0,0.0,324228464000.0,-457500000.0,-113207745901.0,-12045000000.0,-16349595322.0,6401500000.0,4409042981.0,-37029296148.0,385365500000.0,189532759218.0,189532759218.0,0.0,385365500000.0,-3590500000.0,-492982750000.0,-100377763839.0,1444000000.0,938863075.0,2269693000000.0,192271500000,-2094499999.5,-30867489184.0,2777925000000.0,-200955275934.0,-342987000000.0,-885600518.0,-242740953168.0,-37965792002.0,1414561560087.0,-289910523057.0,-8608855906.5,0.0,19829575665,27300000.0,883233297.0,4588886000000.0,-49500000000.0,-17210672548.0,0.0,0.0,0.0,0.0,7.0,22.45,132702478298.0,55502092248.0,475400821569.0,20165163274.0,20165163274.0,4409042981.0,4304061064.0,95921566127.0,-17564210180.0,-17564210180.0,3911104268.0,24908931259.0,1731332582.0,0.0,53547528774.0,1251754229.0,1251754229.0,14668767204.0,70170859452.0,-1340430936.758156,0.185892,130564771815.0,1808089887.0,-7210796794.0,479464212.0,130419309.0,127963219.0,0.12792087,1.416,27.242,-0.454,174760673280.0,0.12037,2.188,0.263,382395056128.0,62549270528.0,399.0,0.30747998,446400561152.0,0,entertainment,1560297600.0,1735603200.0,376020467712.0,86400.0,1743379200.0,137169076224.0,0.07688,2.0,0.051859997,0.928,-2.2222223,90.0,1751618969.0,0.05644,0.11018,-0.017,349.51,communication-services,203686117376.0,47.669,191523536896.0,1451810357248.0
270,516362000000.0,358837000000.0,679260000000.0,-5004000000.0,2908743000000.0,20022000000.0,557023000000.0,,557023000000.0,211997000000.0,969969000000.0,2897246000000.0,1272659000000.0,2530342000000.0,245733000000.0,245691000000.0,17606217000000.0,1492220000000.0,3211273000000.0,1387024000000.0,3804989000000.0,173830000000.0,5156049000000.0,248434000000.0,154805000000.0,333052000000.0,175050000000.0,-81607000000.0,34118000000.0,267039000000.0,943854000000.0,31922000000.0,6711243000000.0,31229000000.0,,780298000000.0,74096000000.0,453493000000.0,0.0,698405000000.0,6438795000000.0,10599842400.0,9477794000000.0,17412416000000.0,9897315000000.0,14515170000000.0,4984759000000.0,232014000000.0,366904000000.0,-2064134000000.0,-116412000000,2150615000000.0,121301000000.0,-6976431000000.0,-72025000000.0,1300000000.0,324228464000.0,2439901563.0,-172811000000.0,-124939000000.0,-499762000000.0,-7920000000.0,21277000000.0,-1856503000000.0,0.0,1460236000000.0,1460236000000.0,-839071000000.0,0.0,-3590500000.0,7712000000.0,89395000000.0,5888907553.0,-5470556.0,-516606000000.0,192271500000,-1.0,-583724000000.0,21292839948.0,-1529351000000.0,-839071000000.0,-373000000.0,0.0,-1947722000000.0,9976487000000.0,-1370841000000.0,-766273190502.0,0.0,1000000000,0.0,832856000000.0,0.0,-516606000000.0,-370956000000.0,0.0,0.0,0.0,0.0,12.0,107.78,2102354000000.0,164239000000.0,3004201000000.0,462338000000.0,462338000000.0,21277000000.0,1118000000.0,1142493000000.0,-482664000000.0,-482664000000.0,-48733000000.0,94347000000.0,4428000000.0,0.0,43307000000.0,,,376916000000.0,541155000000.0,-3788722488.683037,0.304046,2123670000000.0,41603000000.0,-12461000000.0,1727000000.0,801535.0,86237770.0,0.12792087,1.216,53.12,0.628,3330109079552.0,0.31513,3.991,1.258,13289425731584.0,714821402624.0,19446.0,0.30743998,3248874061824.0,0,farm-products,1750204800.0,1735603200.0,8267844026368.0,86400.0,1743379200.0,2281395978240.0,0.23004,2.0,0.12156,0.392,-1.2658228,790.0,1751618977.0,0.08364,0.13172,0.201,996.955,consumer-defensive,603473969152.0,56.932,5452392824832.0,10567564656640.0
772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91757559.0,-25376372020,90048660.0,-4681147.0,-183913772.0,-72025000000.0,569042000000.0,324228464000.0,-97301.0,-24489258.0,-21081818.0,-65093314720.0,15774227000.0,248730.0,-91757559.0,33609250.0,74031869.0,37015934.5,-2454165000000.0,47107.0,-3590500000.0,1020143000000.0,-2972977.0,6955000364.5,-70922854463.5,-748296.0,192271500000,-1.0,-149759271463.5,11008458666.5,-131098524.0,-2454165000000.0,-1838571319.0,-5082237000000.0,-91757559.0,299392309.0,-80226569.0,-8608855906.5,0.0,1000000000,27300000.0,143521.0,1236440000000.0,-1118592374148.0,-15231196.0,0.6227304910255617,0.5772454385889515,0.6380381129565472,0.6940296449259118,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2913693339.24731,2042731726.85297,0.12792087,0.083,532.403,,-72115888128.0,0.0,-13.356,574.912,963162406912.0,-4746182656.0,16.0,-0.47134998,-789667072.0,0,gold,,1703980800.0,668116844544.0,86400.0,1727654400.0,-30447144960.0,-46.8211,2.0,0.0,0.008,0.0,43.0,1750928403.0,-0.08947,-0.87272,-0.509,0.108,basic-materials,3209398784.0,0.207,304662020096.0,1675321984.0
551,275811000000.0,440965000000.0,19509000000.0,-76321000000.0,436438000000.0,30909000000.0,1055927000000.0,0.0,1055927000000.0,21070000000.0,85195000000.0,1803762000000.0,213584000000.0,1999641000000.0,65671000000.0,,3425844000000.0,225087000000.0,24014000000.0,,1893586000000.0,718000000.0,,185419000000.0,85902000000.0,9286000000.0,,,,16029000000.0,8414000000.0,,986611000000.0,,,639853000000.0,,46277000000.0,0.0,125304000000.0,1275522000000.0,2107000000.0,1316167000000.0,3441088000000.0,1316885000000.0,1637326000000.0,124562000000.0,323127000000.0,-195879000000.0,-221029000000.0,-25376372020,1861583000000.0,257927000000.0,-1425385000000.0,-72025000000.0,7671008151.0,324228464000.0,277334000.0,-1382756000000.0,-20220555789.5,-28635000000.0,15774227000.0,36739000000.0,-220900000000.0,31640500.0,850000000000.0,105000000000.0,0.0,31640500.0,-3590500000.0,-5239250.5,-150000000000.0,17707000000.0,11629011000.0,-150000000000.0,192271500000,-1.0,-84931203963.5,11008458666.5,-66986226902.0,-5624500000.0,-1760000000.0,-33672694000.0,-221029000000.0,3536546000000.0,-1000000000000.0,-8608855906.5,0.0,1000000000,27300000.0,129000000.0,850000000000.0,-1000000000000.0,-257682000000.0,0.0,0.0,0.0,0.0,7.0,,1476104000000.0,136825000000.0,2095403000000.0,28180000000.0,28180000000.0,36739000000.0,-298000000.0,1141948000000.0,8559000000.0,8559000000.0,,,,0.0,17393000000.0,,,269057000000.0,405882000000.0,-4796947571.833881,0.211115,1439365000000.0,,-22722000000.0,22722000000.0,157177067.0,149119265.0,0.12792087,1.014,11.671,-0.049,1787910029312.0,0.52694,6.193,3.264,11073386184704.0,1175642832896.0,418.0,0.61622,2090844028928.0,0,beverages-brewers,1748304000.0,1735603200.0,12220600680448.0,86400.0,1743379200.0,1516762955776.0,0.36258,2.0,0.33361,0.83,0.8695652,5750.0,1751619603.0,0.25147,0.72856003,0.014,1610.356,consumer-defensive,1166354022400.0,553.561,176436002816.0,3393021018112.0
924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27878152576.0,-25376372020,48954943510.5,2683130.0,-1241039390000.0,-72025000000.0,7671008151.0,324228464000.0,277334000.0,-4881342152.0,-20220555789.5,-19333839517.0,15774227000.0,4126723070.5,-34650308675.0,33609250.0,311765721272.0,105000000000.0,-1223416.0,47107.0,-3590500000.0,-5239250.5,0.0,8477980.0,-5470556.0,0.0,192271500000,-1.0,-84931203963.5,11008458666.5,-137502344126.0,-5624500000.0,-1838571319.0,-33672694000.0,-27878152576.0,1112853000000.0,-148655251000.0,-8608855906.5,638308.0,1000000000,27300000.0,1102715159.0,233336394357.5,-205954159119.5,-18037578390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,39392600064.0,,,,,2.0,,,0.0,50.0,1721764800.0,,,,,,,,,
949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27878152576.0,-25376372020,48954943510.5,2683130.0,-1241039390000.0,-72025000000.0,7671008151.0,324228464000.0,277334000.0,-4881342152.0,-20220555789.5,-19333839517.0,15774227000.0,4126723070.5,-34650308675.0,33609250.0,311765721272.0,105000000000.0,-1223416.0,47107.0,-3590500000.0,-5239250.5,0.0,8477980.0,-5470556.0,0.0,192271500000,-1.0,-84931203963.5,11008458666.5,-137502344126.0,-5624500000.0,-1838571319.0,-33672694000.0,-27878152576.0,1112853000000.0,-148655251000.0,-8608855906.5,638308.0,1000000000,27300000.0,1102715159.0,233336394357.5,-205954159119.5,-18037578390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2482180194304.0,,,,,2.0,,,0.0,50.0,1721764800.0,,,,,,,,,
186,21120251.0,32687420.0,88287570.0,-5209428.0,1846078.0,,7502804.0,618735.0,6884069.0,283174570.0,0.0,77121479.0,64727311.0,118578121.0,,33017000.0,256674822.0,3196782.0,,,254046154.0,2605170.0,57224507.0,468222.0,,1985055.0,57287000.0,,,,,3624726.0,782590.0,20142392.0,,37876288.0,,13592081.0,0.0,,-244739725.0,14117801449.0,125237688.0,352626143.0,160859858.0,275504664.0,73188164.0,13131311.0,-41456642.0,-42458911.0,-25376372020,38037678.0,4078484.0,-99595630.0,-16118238.5,4410948.0,324228464000.0,-50222.0,-20760871.0,-4942217.0,-12223669.0,49210.0,16587024.0,-13198323.0,113221.0,66929274.0,33607303.0,41720.0,113221.0,-3590500000.0,0.0,-20760871.0,-1836605.0,-609072.0,-3928643.0,192271500000,1.0,-12315127700.0,7667019068.0,-15706322.0,-5000.0,-4320.0,-3599090.0,-42458911.0,149962439.0,-87690145.0,0.0,41720.0,1000000000,27300000.0,29253923.0,33321971.0,-37250614.0,-105462.0,0.3626766166497348,0.4955567783917566,0.3570843570843571,0.4955430209564529,7.0,0.001,31969499.0,3368488.0,49537483.0,18349015.0,18349015.0,49210.0,-39934.0,13751711.0,-18299805.0,-18299805.0,-2672995.0,4530847.0,3054596.0,0.0,263446.0,,,225896.0,3594384.0,-672011.12,0.22,,,-3054596.0,,483471003.8786731,399878763.0,0.12792087,1.031,76.744,-0.428,53022672.0,0.37922,38788.312,14709.307,2056659927040.0,-16076156.0,206.0,0.31705,44330316.0,0,marine-shipping,,1735603200.0,1863549583360.0,86400.0,1743379200.0,36245024.0,0.23399,2.0,0.06723,0.472,-1.4925373,134.0,1751618948.0,0.06202,0.05817,-0.01,0.01,industrials,5484241.0,0.0,128426856.0,139820320.0
257,31616554000.0,140245321000.0,19015656000.0,-9603477000.0,54352771000.0,7846412000.0,563015837000.0,540905000000.0,22110837000.0,16013181000.0,5660837000.0,959222731000.0,3053587000.0,206921572000.0,13097547000.0,,519736063000.0,170028390000.0,6249640000.0,,364471553000.0,3876157000.0,,67550916000.0,,56558671000.0,,,,229109164000.0,788724000.0,13673205000.0,89001262000.0,13905843000.0,,98920525000.0,11150733000.0,8212414000.0,0.0,20851116000.0,810982126000.0,800659050.0,846027963000.0,1118177188000.0,849904120000.0,158954457000.0,61351496000.0,47476730000.0,752301159000.0,-11831315000.0,-25376372020,177516395000.0,-49087509000.0,-465472576000.0,-72025000000.0,7671008151.0,324228464000.0,277334000.0,-226451039000.0,-20220555789.5,-14596942953.0,15774227000.0,23313729000.0,-152865000.0,31640500.0,850000000000.0,105000000000.0,0.0,31640500.0,-3590500000.0,-5239250.5,-75127007646.0,8913676487.0,11629011000.0,-150000000000.0,192271500000,-1.0,-84931203963.5,11008458666.5,-124232595000.0,-5624500000.0,-1760000000.0,-33672694000.0,-11831315000.0,1253173972000.0,-500127007646.0,-8608855906.5,0.0,1000000000,27300000.0,49439000.0,850000000000.0,-1000000000000.0,-633498730000.0,0.0,0.0,0.0,0.0,7.0,,181709282000.0,28516654000.0,448961617000.0,352141000.0,352141000.0,23319615000.0,-92630000.0,142274769000.0,22967474000.0,22967474000.0,2322832000.0,31500000000.0,-49439000.0,0.0,4603707000.0,,,145417262000.0,173933916000.0,10628827.980576,0.214989,,,49439000.0,,157177067.0,149119265.0,0.12792087,4.637,0.804,-0.235,158268768256.0,0.25044,7.764,1.944,1228752158720.0,,360.0,0.69066,436460978176.0,0,beverages-brewers,1751328000.0,1735603200.0,1641350955008.0,86400.0,1743379200.0,171332861952.0,0.21746,2.0,0.20913,3.529,1.4851485,2020.0,1751618864.0,,0.14555,-0.087,789.29,consumer-defensive,599745232896.0,749.064,7102813184.0,631952113664.0
718,177139275177.0,245385915144.0,3109583992619.0,-6022807003.0,2056086693099.0,902481657.0,151260090161.0,0.0,146760090161.0,342942650900.0,78625360751.0,491219565349.0,373921788642.0,663174367256.0,,557933166653.0,5639155279879.0,52346892839.0,2111139929283.0,452516079449.0,183927526299.0,357829174844.0,822022592567.0,42487075520.0,57576085180.0,103546157837.0,2464573691.0,-299503638277.0,108687959794.0,,6639180110.0,2808424664.0,1209375770447.0,21767823869.0,4500000000.0,192511789122.0,45324292711.0,20458843336.0,0.0,52346892839.0,-114621985937.0,17147132545.0,3222488142569.0,5558310470082.0,4138250484066.0,5067090904733.0,756885618760.0,12564089281.0,-171954801907.0,-287410645401.0,-25376372020,263422401814.0,18475083133.0,-1335294491177.0,-366249665687.5,20020795401.0,324228464000.0,797000000.0,5189746736.0,-20220555789.5,-81987809766.0,0.0,4138212141.0,-250137065417.0,111965000000.0,1027268750000.0,987268750000.0,42728063232.0,32554000000.0,-6513830568.0,17000000000.0,7299870039.0,5475000000.0,-3113559214.0,-977218750000.0,192271500000,-1.0,-120139642121.0,5078424549.0,-488727715875.0,-35959624625.5,-23497830667.0,0.0,-263912814734.0,1693518830888.0,-1019968879961.0,-23726000000.0,178083594007.0,1000000000,27300000.0,252784583.0,40000000000.0,-1017218750000.0,-22030764821.0,0.9946501618387571,0.8338914331823606,0.9909440103102084,0.8054066964219074,7.0,0.69,117329545039.0,78108823368.0,514199587984.0,79160492509.0,79160492509.0,4138212142.0,-8756708774.0,11848736148.0,-81751909415.0,-81751909415.0,9703179216.0,29549409939.0,-216567706.0,0.0,73768349133.0,,,23002845708.0,101111669076.0,-100734142.3,0.22,102429025239.0,6729629048.0,-457882465.0,674450171.0,2123548432.0,1811279835.7907,0.12792087,0.718,22.487,5.661,316765011968.0,0.1848,17.391,3.214,5508927324160.0,-122311696384.0,3007.0,0.28943002,496099885056.0,0,medical-care-facilities,1526601600.0,1735603200.0,4286775033856.0,86400.0,1743379200.0,172511035392.0,0.068969995,2.0,0.01164,0.57,0.8064516,248.0,1751620315.0,0.01211,0.00669,0.018,99.951,healthcare,73287958528.0,4.272,933669961728.0,1714087395328.0
