feature_1,feature_2,abs_corr,keep_feature,drop_feature,decision_reason,feature_1_missing_ratio,feature_2_missing_ratio,feature_1_variance,feature_2_variance,feature_1_mi,feature_2_mi,feature_1_domain_priority,feature_2_domain_priority,feature_1_is_mandatory_protected,feature_2_is_mandatory_protected
BS_Tangible_Book_Value,BS_Net_Tangible_Assets,1.0,BS_Tangible_Book_Value,BS_Net_Tangible_Assets,lower_mutual_information,0.38830584707646176,0.38830584707646176,3.623074690149226e+26,3.623074690149226e+26,0.11925505645019441,0.11611365525751616,0.0,0.0,False,False
BS_Common_Stock_Equity,BS_Stockholders_Equity,1.0,BS_Stockholders_Equity,BS_Common_Stock_Equity,lower_mutual_information,0.38830584707646176,0.38830584707646176,3.824911316237716e+26,3.824911316237716e+26,0.12681260683820428,0.15532687067089812,0.0,0.0,False,False
BS_Capital_Stock,BS_Common_Stock,1.0,BS_Common_Stock,BS_Capital_Stock,lower_mutual_information,0.38830584707646176,0.38830584707646176,4.1540560123220424e+24,4.1540560123220424e+24,0.10479655055509718,0.11828445547868438,0.0,0.0,False,False
IS_Reconciled_Depreciation,IS_Depreciation_And_Amortization_In_Income_Statement,1.0,IS_Reconciled_Depreciation,IS_Depreciation_And_Amortization_In_Income_Statement,lower_mutual_information,0.42278860569715143,0.42278860569715143,3.151706622704126e+23,3.151706622704126e+23,0.13758686030834522,0.13382916513417342,0.0,0.0,False,False
IS_Diluted_NI_Availto_Com_Stockholders,IS_Net_Income_Common_Stockholders,1.0,IS_Net_Income_Common_Stockholders,IS_Diluted_NI_Availto_Com_Stockholders,lower_mutual_information,0.38830584707646176,0.38830584707646176,1.2738067122879284e+25,1.2738067122879284e+25,0.1830507471683822,0.18831656118493512,0.0,0.0,False,False
CF_Repurchase_Of_Capital_Stock,CF_Common_Stock_Payments,1.0,CF_Repurchase_Of_Capital_Stock,CF_Common_Stock_Payments,lower_mutual_information,0.0,0.0,3.6477889101808687e+22,3.6477889101808687e+22,0.07735064008057235,0.06681747096046142,0.0,0.0,False,False
IS_Total_Revenue,IS_Operating_Revenue,1.0,IS_Operating_Revenue,IS_Total_Revenue,lower_mutual_information,0.38830584707646176,0.38830584707646176,3.2789711498936615e+26,3.2789711498936615e+26,0.10560728486456505,0.11048386693637902,0.0,0.0,False,False
IS_Reconciled_Cost_Of_Revenue,IS_Cost_Of_Revenue,1.0,IS_Cost_Of_Revenue,IS_Reconciled_Cost_Of_Revenue,lower_mutual_information,0.4617691154422789,0.4617691154422789,1.7114151835224015e+26,1.7114151835224015e+26,0.07036338322869895,0.07065264814294725,0.0,0.0,False,False
CF_Issuance_Of_Capital_Stock,CF_Common_Stock_Issuance,1.0,CF_Issuance_Of_Capital_Stock,CF_Common_Stock_Issuance,lower_mutual_information,0.0,0.0,3.7488205013814945e+23,3.7488205013814945e+23,0.09688377547475757,0.09642980311975013,0.0,0.0,False,False
IS_Net_Income_From_Continuing_And_Discontinued_Operation,IS_Net_Income,0.9999999999996941,IS_Net_Income,IS_Net_Income_From_Continuing_And_Discontinued_Operation,feature_2_mandatory_protected,0.38830584707646176,0.38830584707646176,1.2738049482366178e+25,1.2738049599289707e+25,0.20076158469016647,0.1978402504558261,0.0,0.0,False,True
IS_Net_Income_Common_Stockholders,IS_Net_Income,0.9999999992054416,IS_Net_Income,IS_Net_Income_Common_Stockholders,feature_2_mandatory_protected,0.38830584707646176,0.38830584707646176,1.2738067122879284e+25,1.2738049599289707e+25,0.18831656118493512,0.1978402504558261,0.0,0.0,False,True
lastFiscalYearEnd,nextFiscalYearEnd,0.9999991702270372,lastFiscalYearEnd,nextFiscalYearEnd,lower_variance,0.06446776611694154,0.06446776611694154,87015322826111.25,86867758664425.64,0.0,0.019217809750940562,0.0,0.0,False,False
IS_Net_Income_Including_Noncontrolling_Interests,IS_Net_Income_Continuous_Operations,0.9999990145322675,IS_Net_Income_Continuous_Operations,IS_Net_Income_Including_Noncontrolling_Interests,lower_variance,0.38830584707646176,0.38830584707646176,1.50939325310341e+25,1.5094196076122908e+25,0.20367942555031626,0.1953544062551409,0.0,0.0,False,False
IS_Net_Income_From_Continuing_Operation_Net_Minority_Interest,IS_Net_Income,0.999998832271969,IS_Net_Income,IS_Net_Income_From_Continuing_Operation_Net_Minority_Interest,feature_2_mandatory_protected,0.38830584707646176,0.38830584707646176,1.2738290650486155e+25,1.2738049599289707e+25,0.1839340963135494,0.1978402504558261,0.0,0.0,False,True
IS_Diluted_EPS,IS_Basic_EPS,0.9999963032224126,IS_Basic_EPS,IS_Diluted_EPS,lower_variance,0.6596701649175413,0.6596701649175413,9592.03861631838,9593.465335077808,0.09383338828343102,0.05447162627672664,0.0,0.0,False,False
previousClose,open,0.9999932572241975,open,previousClose,lower_variance,0.06296851574212893,0.06296851574212893,38948403.93741418,38959132.232744,0.013266357595119072,0.02497942766929584,0.0,0.0,False,False
regularMarketPreviousClose,regularMarketOpen,0.9999875053068029,regularMarketPreviousClose,regularMarketOpen,higher_missing_ratio,0.0,0.013493253373313344,38966872.35610573,38976396.2009896,0.0,0.0,0.0,0.0,False,False
regularMarketPreviousClose,regularMarketPrice,0.9999854791427172,regularMarketPreviousClose,regularMarketPrice,lower_variance,0.0,0.0,38966872.35610573,38911319.79965874,0.0,0.0,0.0,0.0,False,False
dayLow,regularMarketDayLow,0.9999847626862796,regularMarketDayLow,dayLow,higher_missing_ratio,0.06296851574212893,0.013493253373313344,38772567.79970376,38786742.93715193,0.04390041194240646,0.018587574043649635,0.0,0.0,False,False
dayHigh,regularMarketDayHigh,0.9999834001088734,regularMarketDayHigh,dayHigh,higher_missing_ratio,0.06296851574212893,0.013493253373313344,39086082.64542955,39101175.96183891,0.0054750329019777055,0.0,0.0,0.0,False,False
CF_Net_Intangibles_Purchase_And_Sale,CF_Purchase_Of_Intangibles,0.9999830476939909,CF_Purchase_Of_Intangibles,CF_Net_Intangibles_Purchase_And_Sale,lower_variance,0.0,0.0,2.5032718293254913e+23,2.503467761336744e+23,0.15693554273117893,0.15714425528657294,0.0,0.0,False,False
IS_Diluted_Average_Shares,IS_Basic_Average_Shares,0.9999828595168359,IS_Diluted_Average_Shares,IS_Basic_Average_Shares,higher_missing_ratio,0.656671664167916,0.6596701649175413,1.8746563381505428e+21,1.8744927429516124e+21,0.007959164847272326,0.0,0.0,0.0,False,False
open,regularMarketPreviousClose,0.9999724006474108,regularMarketPreviousClose,open,higher_missing_ratio,0.06296851574212893,0.0,38959132.232744,38966872.35610573,0.02497942766929584,0.0,0.0,0.0,False,False
regularMarketPreviousClose,regularMarketDayLow,0.9999430942187804,regularMarketPreviousClose,regularMarketDayLow,higher_missing_ratio,0.0,0.013493253373313344,38966872.35610573,38786742.93715193,0.0,0.018587574043649635,0.0,0.0,False,False
regularMarketPreviousClose,regularMarketDayHigh,0.999933691559499,regularMarketPreviousClose,regularMarketDayHigh,higher_missing_ratio,0.0,0.013493253373313344,38966872.35610573,39101175.96183891,0.0,0.0,0.0,0.0,False,False
IS_Total_Unusual_Items,IS_Total_Unusual_Items_Excluding_Goodwill,0.9998845343782087,IS_Total_Unusual_Items_Excluding_Goodwill,IS_Total_Unusual_Items,lower_variance,0.5037481259370314,0.5037481259370314,6.662179222120142e+23,6.678060248088691e+23,0.0746365902020083,0.03324871173654209,0.0,0.0,False,False
BS_Ordinary_Shares_Number,BS_Share_Issued,0.999281589034765,BS_Share_Issued,BS_Ordinary_Shares_Number,lower_variance,0.38980509745127434,0.38980509745127434,2.0146309501727552e+21,2.435283541123851e+21,0.02353751743451049,0.02665759563824044,0.0,0.0,False,False
IS_Net_Income_Continuous_Operations,IS_Pretax_Income,0.9988652953945297,IS_Pretax_Income,IS_Net_Income_Continuous_Operations,lower_variance,0.38830584707646176,0.38830584707646176,1.5094196076122908e+25,2.291975152175589e+25,0.1953544062551409,0.17759955612863831,0.0,0.0,False,False
CF_Net_PPE_Purchase_And_Sale,CF_Purchase_Of_PPE,0.9988133866706805,CF_Purchase_Of_PPE,CF_Net_PPE_Purchase_And_Sale,lower_variance,0.0,0.0,7.83873267041175e+23,8.185530879907524e+23,0.238698205968237,0.2530621986206345,0.0,0.0,False,False
BS_Capital_Lease_Obligations,BS_Long_Term_Capital_Lease_Obligation,0.9986799510634836,BS_Capital_Lease_Obligations,BS_Long_Term_Capital_Lease_Obligation,higher_missing_ratio,0.5742128935532234,0.6041979010494752,1.8507619590822766e+24,1.2859109636857258e+24,0.046748259733724984,0.07413915283248751,0.0,0.0,False,False
