feature_1,feature_2,abs_corr
BS_Tangible_Book_Value,BS_Net_Tangible_Assets,1.0
BS_Common_Stock_Equity,BS_Stockholders_Equity,1.0
BS_Capital_Stock,BS_Common_Stock,1.0
IS_Reconciled_Depreciation,IS_Depreciation_And_Amortization_In_Income_Statement,1.0
IS_Diluted_NI_Availto_Com_Stockholders,IS_Net_Income_Common_Stockholders,1.0
CF_Repurchase_Of_Capital_Stock,CF_Common_Stock_Payments,1.0
IS_Total_Revenue,IS_Operating_Revenue,1.0
IS_Reconciled_Cost_Of_Revenue,IS_Cost_Of_Revenue,1.0
CF_Issuance_Of_Capital_Stock,CF_Common_Stock_Issuance,1.0
IS_Net_Income_From_Continuing_And_Discontinued_Operation,IS_Net_Income,0.9999999999996941
IS_Diluted_NI_Availto_Com_Stockholders,IS_Net_Income,0.9999999992054416
IS_Net_Income_Common_Stockholders,IS_Net_Income,0.9999999992054416
IS_Net_Income_From_Continuing_And_Discontinued_Operation,IS_Net_Income_Common_Stockholders,0.9999999992050902
IS_Net_Income_From_Continuing_And_Discontinued_Operation,IS_Diluted_NI_Availto_Com_Stockholders,0.9999999992050902
lastFiscalYearEnd,nextFiscalYearEnd,0.9999991702270372
IS_Net_Income_Including_Noncontrolling_Interests,IS_Net_Income_Continuous_Operations,0.9999990145322675
IS_Net_Income_From_Continuing_Operation_Net_Minority_Interest,IS_Net_Income_From_Continuing_And_Discontinued_Operation,0.9999988322741596
IS_Net_Income_From_Continuing_Operation_Net_Minority_Interest,IS_Net_Income,0.999998832271969
IS_Net_Income_From_Continuing_Operation_Net_Minority_Interest,IS_Net_Income_Common_Stockholders,0.9999988315619485
IS_Net_Income_From_Continuing_Operation_Net_Minority_Interest,IS_Diluted_NI_Availto_Com_Stockholders,0.9999988315619485
IS_Diluted_EPS,IS_Basic_EPS,0.9999963032224126
previousClose,open,0.9999932572241975
regularMarketPreviousClose,regularMarketOpen,0.9999875053068029
regularMarketPreviousClose,regularMarketPrice,0.9999854791427172
dayLow,regularMarketDayLow,0.9999847626862796
dayHigh,regularMarketDayHigh,0.9999834001088734
CF_Net_Intangibles_Purchase_And_Sale,CF_Purchase_Of_Intangibles,0.9999830476939909
IS_Diluted_Average_Shares,IS_Basic_Average_Shares,0.9999828595168359
regularMarketOpen,regularMarketPrice,0.9999802555744414
previousClose,regularMarketPreviousClose,0.9999794950206439
open,regularMarketOpen,0.9999791638004357
previousClose,regularMarketOpen,0.9999727504011507
open,regularMarketPreviousClose,0.9999724006474108
open,regularMarketPrice,0.9999652137234551
previousClose,regularMarketPrice,0.9999650382184004
regularMarketDayHigh,regularMarketPrice,0.999960602589403
open,dayLow,0.9999538997696092
regularMarketOpen,regularMarketDayLow,0.9999517903607699
previousClose,dayLow,0.9999476713090117
dayHigh,regularMarketPrice,0.9999453358727156
regularMarketDayLow,regularMarketPrice,0.9999452949673475
regularMarketPreviousClose,regularMarketDayLow,0.9999430942187804
open,dayHigh,0.9999407471160159
open,regularMarketDayLow,0.9999402850694735
regularMarketOpen,regularMarketDayHigh,0.9999393623651727
previousClose,dayHigh,0.9999375548474498
previousClose,regularMarketDayLow,0.9999343341082347
regularMarketPreviousClose,regularMarketDayHigh,0.999933691559499
dayLow,regularMarketOpen,0.9999311586591977
dayLow,regularMarketPrice,0.9999270168297494
dayLow,regularMarketPreviousClose,0.9999247625679781
open,regularMarketDayHigh,0.9999228194331536
dayHigh,regularMarketOpen,0.9999214588757374
previousClose,regularMarketDayHigh,0.9999199138769013
dayHigh,regularMarketPreviousClose,0.9999183647963003
dayLow,dayHigh,0.9998908040591059
regularMarketDayLow,regularMarketDayHigh,0.9998906937767336
IS_Total_Unusual_Items,IS_Total_Unusual_Items_Excluding_Goodwill,0.9998845343782087
dayHigh,regularMarketDayLow,0.999878494548409
dayLow,regularMarketDayHigh,0.9998712149665578
BS_Ordinary_Shares_Number,BS_Share_Issued,0.999281589034765
IS_Net_Income_Continuous_Operations,IS_Pretax_Income,0.9988652953945297
IS_Net_Income_Including_Noncontrolling_Interests,IS_Pretax_Income,0.9988649795518154
CF_Net_PPE_Purchase_And_Sale,CF_Purchase_Of_PPE,0.9988133866706805
BS_Capital_Lease_Obligations,BS_Long_Term_Capital_Lease_Obligation,0.9986799510634836
IS_Depreciation_And_Amortization_In_Income_Statement,IS_Depreciation_Income_Statement,0.9976155964514298
IS_Reconciled_Depreciation,IS_Depreciation_Income_Statement,0.9976155964514298
BS_Cash_And_Cash_Equivalents,CF_End_Cash_Position,0.9973416296732693
BS_Invested_Capital,BS_Total_Capitalization,0.9973024901674009
BS_Total_Liabilities_Net_Minority_Interest,BS_Total_Assets,0.9951792827371088
IS_Total_Expenses,IS_Cost_Of_Revenue,0.9950594962672183
IS_Reconciled_Cost_Of_Revenue,IS_Total_Expenses,0.9950594962672183
BS_Current_Debt_And_Capital_Lease_Obligation,BS_Current_Debt,0.9946842258661227
IS_Total_Unusual_Items,IS_Special_Income_Charges,0.9931369637803829
IS_Total_Unusual_Items_Excluding_Goodwill,IS_Special_Income_Charges,0.9926743866796819
IS_Net_Income_From_Continuing_Operation_Net_Minority_Interest,IS_Net_Income_Continuous_Operations,0.9918894334577345
IS_Net_Income,IS_Net_Income_Including_Noncontrolling_Interests,0.9918892825423262
IS_Net_Income_From_Continuing_And_Discontinued_Operation,IS_Net_Income_Including_Noncontrolling_Interests,0.9918892824108957
IS_Net_Income_Common_Stockholders,IS_Net_Income_Including_Noncontrolling_Interests,0.9918892086164042
IS_Diluted_NI_Availto_Com_Stockholders,IS_Net_Income_Including_Noncontrolling_Interests,0.9918892086164042
IS_Net_Income_From_Continuing_Operation_Net_Minority_Interest,IS_Net_Income_Including_Noncontrolling_Interests,0.9918883279489039
IS_Net_Income,IS_Net_Income_Continuous_Operations,0.9918882425837705
IS_Net_Income_From_Continuing_And_Discontinued_Operation,IS_Net_Income_Continuous_Operations,0.9918882424546365
IS_Diluted_NI_Availto_Com_Stockholders,IS_Net_Income_Continuous_Operations,0.9918881687361515
IS_Net_Income_Common_Stockholders,IS_Net_Income_Continuous_Operations,0.9918881687361515
IS_Net_Income_From_Continuing_Operation_Net_Minority_Interest,IS_Pretax_Income,0.9917182746866979
IS_Net_Income,IS_Pretax_Income,0.9917178218991811
IS_Net_Income_From_Continuing_And_Discontinued_Operation,IS_Pretax_Income,0.9917178217127179
IS_Net_Income_Common_Stockholders,IS_Pretax_Income,0.9917176383910647
IS_Diluted_NI_Availto_Com_Stockholders,IS_Pretax_Income,0.9917176383910647
BS_Common_Stock_Equity,BS_Total_Equity_Gross_Minority_Interest,0.990899299284796
BS_Total_Equity_Gross_Minority_Interest,BS_Stockholders_Equity,0.990899299284796
BS_Investmentin_Financial_Assets,BS_Available_For_Sale_Securities,0.9907971734763611
marketCap,enterpriseValue,0.9896055867038591
exDividendDate,lastDividendDate,0.9884149106770663
CF_Net_Investment_Properties_Purchase_And_Sale,CF_Purchase_Of_Investment_Properties,0.9881207807932646
CF_Classesof_Cash_Payments,CF_Classesof_Cash_Receiptsfrom_Operating_Activities,0.9876077042015559
IS_Normalized_Income,IS_Tax_Provision,0.9868254064269711
CF_Sale_Of_Investment,CF_Purchase_Of_Investment,0.9858141930599037
totalRevenue,IS_Total_Revenue,0.9847120130741479
totalRevenue,IS_Operating_Revenue,0.9847120130741479
CF_Net_Issuance_Payments_Of_Debt,CF_Net_Long_Term_Debt_Issuance,0.9840439555049536
BS_Invested_Capital,BS_Total_Equity_Gross_Minority_Interest,0.9835777646088819
BS_Accounts_Receivable,BS_Gross_Accounts_Receivable,0.9831416800710174
IS_Net_Interest_Income,IS_Interest_Income,0.9829297939964263
IS_EBITDA,IS_EBIT,0.9825078315382899
IS_Net_Interest_Income,BS_Investmentin_Financial_Assets,0.9813919602681618
BS_Total_Liabilities_Net_Minority_Interest,IS_Interest_Income,0.9807264211414709
IS_Normalized_Income,IS_Pretax_Income,0.9803759480594474
quickRatio,currentRatio,0.9799539761849757
IS_Tax_Provision,IS_Pretax_Income,0.9798085515419258
BS_Total_Assets,CF_Beginning_Cash_Position,0.9792195325103337
CF_Free_Cash_Flow,CF_Cash_Flowsfromusedin_Operating_Activities_Direct,0.9784933379131363
BS_Total_Capitalization,BS_Total_Equity_Gross_Minority_Interest,0.9784395567894348
IS_Net_Interest_Income,BS_Available_For_Sale_Securities,0.9776592682273679
CF_End_Cash_Position,CF_Beginning_Cash_Position,0.9774795232575586
BS_Total_Liabilities_Net_Minority_Interest,CF_Beginning_Cash_Position,0.9769121546118613
CF_Paymentsto_Suppliersfor_Goodsand_Services,CF_Receiptsfrom_Customers,0.976685198440528
IS_Net_Income_From_Continuing_Operation_Net_Minority_Interest,IS_Normalized_Income,0.9761029744548455
IS_Normalized_Income,IS_Net_Income_Common_Stockholders,0.9761014431250592
IS_Normalized_Income,IS_Diluted_NI_Availto_Com_Stockholders,0.9761014431250592
IS_Normalized_Income,IS_Net_Income_From_Continuing_And_Discontinued_Operation,0.976101383827931
IS_Normalized_Income,IS_Net_Income,0.9761013837423418
BS_Common_Stock_Equity,BS_Total_Capitalization,0.9760557059779802
BS_Total_Capitalization,BS_Stockholders_Equity,0.9760557059779802
BS_Share_Issued,IS_Diluted_Average_Shares,0.975957344439191
BS_Share_Issued,IS_Basic_Average_Shares,0.9759425679313216
BS_Cash_And_Cash_Equivalents,CF_Beginning_Cash_Position,0.9759174251241639
BS_Invested_Capital,BS_Common_Stock_Equity,0.9753412878966384
BS_Invested_Capital,BS_Stockholders_Equity,0.9753412878966384
BS_Total_Debt,BS_Long_Term_Debt_And_Capital_Lease_Obligation,0.9750809187334849
grossProfits,IS_Tax_Provision,0.9747067903197071
IS_Cost_Of_Revenue,CF_Receiptsfrom_Customers,0.9739110010319708
IS_Reconciled_Cost_Of_Revenue,CF_Receiptsfrom_Customers,0.9739110010319708
IS_Total_Expenses,CF_Receiptsfrom_Customers,0.9738465514130965
BS_Total_Assets,BS_Cash_And_Cash_Equivalents,0.9735787704259958
BS_Total_Assets,IS_Interest_Income,0.9731228692346533
IS_Normalized_Income,IS_Net_Income_Continuous_Operations,0.9730120029659077
IS_Normalized_Income,IS_Net_Income_Including_Noncontrolling_Interests,0.9730105517951004
IS_Normalized_Income,CF_Cash_Dividends_Paid,0.9722046953564305
totalDebt,BS_Long_Term_Debt_And_Capital_Lease_Obligation,0.9712510137071665
BS_Ordinary_Shares_Number,IS_Diluted_Average_Shares,0.9711704405548943
BS_Accumulated_Depreciation,BS_Gross_PPE,0.9711577303793678
BS_Ordinary_Shares_Number,IS_Basic_Average_Shares,0.9711508309491682
ebitda,IS_Normalized_EBITDA,0.9710939050746066
IS_Normalized_EBITDA,IS_Operating_Income,0.970572607130285
BS_Total_Liabilities_Net_Minority_Interest,BS_Cash_And_Cash_Equivalents,0.9702773261160551
BS_Total_Assets,CF_End_Cash_Position,0.9702399683530669
ebitda,IS_Operating_Income,0.9693042829259386
IS_Interest_Income,BS_Investmentin_Financial_Assets,0.9693011389912527
IS_Net_Income_Including_Noncontrolling_Interests,IS_Tax_Provision,0.9691772563376538
