feature,original_column,dtype_train,feature_type,missing_count_train,missing_ratio_train,n_unique_train_dropna,n_unique_train_include_na,suggested_imputation,missing_indicator_recommended,median_value_train,mode_value_train
BS_Other_Short_Term_Investments,BS_Other Short Term Investments,float64,numeric,533,0.7991004497751124,132,133,median,True,50000000000.0,
BS_Other_Inventories,BS_Other Inventories,float64,numeric,524,0.7856071964017991,143,144,median,True,5278320141.0,
IS_Write_Off,IS_Write Off,float64,numeric,504,0.7556221889055472,143,144,median,True,479464212.0,
BS_Long_Term_Equity_Investment,BS_Long Term Equity Investment,float64,numeric,499,0.7481259370314842,154,155,median,True,41873695187.5,
BS_Non_Current_Deferred_Taxes_Liabilities,BS_Non Current Deferred Taxes Liabilities,float64,numeric,499,0.7481259370314842,164,165,median,True,12022644500.0,
BS_Pensionand_Other_Post_Retirement_Benefit_Plans_Current,BS_Pensionand Other Post Retirement Benefit Plans Current,float64,numeric,497,0.7451274362818591,167,168,median,True,7853105344.0,
BS_Other_Equity_Interest,BS_Other Equity Interest,float64,numeric,462,0.6926536731634183,204,205,median,True,425000000.0,
BS_Other_Intangible_Assets,BS_Other Intangible Assets,float64,numeric,462,0.6926536731634183,205,206,median,True,16021000000.0,
BS_Non_Current_Prepaid_Assets,BS_Non Current Prepaid Assets,float64,numeric,461,0.6911544227886057,204,205,median,True,4918054467.5,
IS_Basic_EPS,IS_Basic EPS,float64,numeric,440,0.6596701649175413,220,221,median,True,12.0,
IS_Total_Other_Finance_Cost,IS_Total Other Finance Cost,float64,numeric,438,0.656671664167916,229,230,median,True,1083598143.0,
IS_Total_Operating_Income_As_Reported,IS_Total Operating Income As Reported,float64,numeric,435,0.6521739130434783,232,233,median,True,64671048209.5,
BS_Net_Debt,BS_Net Debt,float64,numeric,430,0.6446776611694153,237,238,median,True,401824954905.0,
BS_Raw_Materials,BS_Raw Materials,float64,numeric,430,0.6446776611694153,235,236,median,True,47131532597.0,
BS_Other_Non_Current_Assets,BS_Other Non Current Assets,float64,numeric,425,0.6371814092953523,238,239,median,True,3370644084.0,
IS_Other_Special_Charges,IS_Other Special Charges,float64,numeric,415,0.6221889055472264,251,252,median,True,-300190573.0,
BS_Finished_Goods,BS_Finished Goods,float64,numeric,413,0.6191904047976012,254,255,median,True,119920449000.0,
IS_Rent_Expense_Supplemental,IS_Rent Expense Supplemental,float64,numeric,406,0.6086956521739131,256,257,median,True,4545881000.0,
IS_Rent_And_Landing_Fees,IS_Rent And Landing Fees,float64,numeric,402,0.6026986506746627,260,261,median,True,3612004000.0,
BS_Goodwill_And_Other_Intangible_Assets,BS_Goodwill And Other Intangible Assets,float64,numeric,401,0.6011994002998501,259,260,median,True,15940497783.5,
BS_Cash_Equivalents,BS_Cash Equivalents,float64,numeric,393,0.5892053973013494,247,248,median,True,44282540280.0,
BS_Allowance_For_Doubtful_Accounts_Receivable,BS_Allowance For Doubtful Accounts Receivable,float64,numeric,388,0.5817091454272864,270,271,median,True,-5088000000.0,
BS_Capital_Lease_Obligations,BS_Capital Lease Obligations,float64,numeric,383,0.5742128935532234,265,266,median,True,5639602000.0,
BS_Non_Current_Deferred_Taxes_Assets,BS_Non Current Deferred Taxes Assets,float64,numeric,370,0.5547226386806596,291,292,median,True,10728196280.0,
BS_Other_Properties,BS_Other Properties,float64,numeric,362,0.5427286356821589,305,306,median,True,58314738000.0,
BS_Minority_Interest,BS_Minority Interest,float64,numeric,345,0.5172413793103449,312,313,median,True,2919857049.5,
IS_Minority_Interests,IS_Minority Interests,float64,numeric,345,0.5172413793103449,304,305,median,True,-2607878.0,
BS_Land_And_Improvements,BS_Land And Improvements,float64,numeric,344,0.5157421289355323,323,324,median,True,127316145142.0,
BS_Inventory,BS_Inventory,float64,numeric,342,0.512743628185907,325,326,median,True,152619787600.0,
BS_Other_Receivables,BS_Other Receivables,float64,numeric,342,0.512743628185907,325,326,median,True,7237215166.0,
BS_Construction_In_Progress,BS_Construction In Progress,float64,numeric,341,0.5112443778110944,306,307,median,True,23183500000.0,
IS_Total_Unusual_Items_Excluding_Goodwill,IS_Total Unusual Items Excluding Goodwill,float64,numeric,336,0.5037481259370314,319,320,median,True,44000.0,
IS_Interest_Income_Non_Operating,IS_Interest Income Non Operating,float64,numeric,327,0.49025487256371814,340,341,median,True,3143839335.5,
BS_Current_Debt_And_Capital_Lease_Obligation,BS_Current Debt And Capital Lease Obligation,float64,numeric,323,0.48425787106446777,340,341,median,True,100012500000.0,
IS_Other_Non_Operating_Income_Expenses,IS_Other Non Operating Income Expenses,float64,numeric,322,0.4827586206896552,345,346,median,True,54658000.0,
BS_Properties,BS_Properties,float64,numeric,318,0.4767616191904048,45,46,median,True,0.0,
IS_Interest_Expense_Non_Operating,IS_Interest Expense Non Operating,float64,numeric,312,0.46776611694152925,352,353,median,True,17523482293.0,
IS_Selling_And_Marketing_Expense,IS_Selling And Marketing Expense,float64,numeric,310,0.46476761619190404,357,358,median,True,22914043412.0,
BS_Accounts_Receivable,BS_Accounts Receivable,float64,numeric,309,0.46326836581709147,355,356,median,True,134655466158.5,
BS_Current_Assets,BS_Current Assets,float64,numeric,308,0.4617691154422789,359,360,median,True,761026184698.0,
BS_Current_Liabilities,BS_Current Liabilities,float64,numeric,308,0.4617691154422789,359,360,median,True,491713674391.0,
BS_Total_Non_Current_Assets,BS_Total Non Current Assets,float64,numeric,308,0.4617691154422789,359,360,median,True,849680806000.0,
BS_Total_Non_Current_Liabilities_Net_Minority_Interest,BS_Total Non Current Liabilities Net Minority Interest,float64,numeric,308,0.4617691154422789,359,360,median,True,140666013611.0,
BS_Working_Capital,BS_Working Capital,float64,numeric,308,0.4617691154422789,359,360,median,True,174839160389.0,
IS_Gross_Profit,IS_Gross Profit,float64,numeric,308,0.4617691154422789,359,360,median,True,272584000000.0,
IS_Otherunder_Preferred_Stock_Dividend,IS_Otherunder Preferred Stock Dividend,float64,numeric,308,0.4617691154422789,2,3,median,True,0.0,
IS_EBIT,IS_EBIT,float64,numeric,303,0.4542728635682159,364,365,median,True,74390301694.0,
BS_Other_Payable,BS_Other Payable,float64,numeric,302,0.4527736131934033,365,366,median,True,16787942186.0,
BS_Non_Current_Pension_And_Other_Postretirement_Benefit_Plans,BS_Non Current Pension And Other Postretirement Benefit Plans,float64,numeric,300,0.4497751124437781,365,366,median,True,20828894142.0,
BS_Cash_Cash_Equivalents_And_Short_Term_Investments,BS_Cash Cash Equivalents And Short Term Investments,float64,numeric,298,0.44677661169415295,369,370,median,True,143839901566.0,
IS_Net_Non_Operating_Interest_Income_Expense,IS_Net Non Operating Interest Income Expense,float64,numeric,298,0.44677661169415295,369,370,median,True,-5004249667.0,
IS_Reconciled_Depreciation,IS_Reconciled Depreciation,float64,numeric,282,0.42278860569715143,384,385,median,True,11014740124.0,
IS_Other_Operating_Expenses,IS_Other Operating Expenses,float64,numeric,281,0.42128935532233885,384,385,median,True,10257872226.5,
earningsGrowth,earningsGrowth,float64,numeric,279,0.41829085457271364,348,349,median,True,0.039,
IS_Interest_Expense,IS_Interest Expense,float64,numeric,277,0.41529235382308843,387,388,median,True,25965669234.0,
BS_Buildings_And_Improvements,BS_Buildings And Improvements,float64,numeric,272,0.4077961019490255,394,395,median,True,149595427000.0,
BS_Cash_Financial,BS_Cash Financial,float64,numeric,269,0.4032983508245877,398,399,median,True,67873113085.5,
BS_Accounts_Payable,BS_Accounts Payable,float64,numeric,268,0.4017991004497751,397,398,median,True,94279365757.0,
BS_Prepaid_Assets,BS_Prepaid Assets,float64,numeric,267,0.4002998500749625,399,400,median,True,38603500000.0,
BS_Machinery_Furniture_Equipment,BS_Machinery Furniture Equipment,float64,numeric,263,0.39430284857571213,404,405,median,True,181223180266.5,
IS_Net_Interest_Income,IS_Net Interest Income,float64,numeric,262,0.39280359820089955,405,406,median,True,-2249000000.0,
BS_Additional_Paid_In_Capital,BS_Additional Paid In Capital,float64,numeric,260,0.38980509745127434,407,408,median,True,174181212208.0,
BS_Gross_PPE,BS_Gross PPE,float64,numeric,260,0.38980509745127434,407,408,median,True,732675975000.0,
BS_Share_Issued,BS_Share Issued,float64,numeric,260,0.38980509745127434,401,402,median,True,6443379509.0,
IS_General_And_Administrative_Expense,IS_General And Administrative Expense,float64,numeric,260,0.38980509745127434,407,408,median,True,29400714293.0,
IS_Selling_General_And_Administration,IS_Selling General And Administration,float64,numeric,260,0.38980509745127434,407,408,median,True,60915203699.0,
BS_Common_Stock,BS_Common Stock,float64,numeric,259,0.38830584707646176,400,401,median,True,306726571900.0,
BS_Payables,BS_Payables,float64,numeric,259,0.38830584707646176,408,409,median,True,154860500000.0,
BS_Retained_Earnings,BS_Retained Earnings,float64,numeric,259,0.38830584707646176,408,409,median,True,251462831963.0,
BS_Tangible_Book_Value,BS_Tangible Book Value,float64,numeric,259,0.38830584707646176,408,409,median,True,1078723651500.0,
BS_Total_Assets,BS_Total Assets,float64,numeric,259,0.38830584707646176,408,409,median,True,2650895000000.0,
