feature,original_column,missing_indicator_name
BS_Other_Short_Term_Investments,BS_Other Short Term Investments,BS_Other_Short_Term_Investments_missing_indicator
BS_Other_Inventories,BS_Other Inventories,BS_Other_Inventories_missing_indicator
IS_Write_Off,IS_Write Off,IS_Write_Off_missing_indicator
BS_Long_Term_Equity_Investment,BS_Long Term Equity Investment,BS_Long_Term_Equity_Investment_missing_indicator
BS_Non_Current_Deferred_Taxes_Liabilities,BS_Non Current Deferred Taxes Liabilities,BS_Non_Current_Deferred_Taxes_Liabilities_missing_indicator
BS_Pensionand_Other_Post_Retirement_Benefit_Plans_Current,BS_Pensionand Other Post Retirement Benefit Plans Current,BS_Pensionand_Other_Post_Retirement_Benefit_Plans_Current_missing_indicator
BS_Other_Equity_Interest,BS_Other Equity Interest,BS_Other_Equity_Interest_missing_indicator
BS_Other_Intangible_Assets,BS_Other Intangible Assets,BS_Other_Intangible_Assets_missing_indicator
BS_Non_Current_Prepaid_Assets,BS_Non Current Prepaid Assets,BS_Non_Current_Prepaid_Assets_missing_indicator
IS_Basic_EPS,IS_Basic EPS,IS_Basic_EPS_missing_indicator
IS_Total_Other_Finance_Cost,IS_Total Other Finance Cost,IS_Total_Other_Finance_Cost_missing_indicator
IS_Total_Operating_Income_As_Reported,IS_Total Operating Income As Reported,IS_Total_Operating_Income_As_Reported_missing_indicator
BS_Net_Debt,BS_Net Debt,BS_Net_Debt_missing_indicator
BS_Raw_Materials,BS_Raw Materials,BS_Raw_Materials_missing_indicator
BS_Other_Non_Current_Assets,BS_Other Non Current Assets,BS_Other_Non_Current_Assets_missing_indicator
IS_Other_Special_Charges,IS_Other Special Charges,IS_Other_Special_Charges_missing_indicator
BS_Finished_Goods,BS_Finished Goods,BS_Finished_Goods_missing_indicator
IS_Rent_Expense_Supplemental,IS_Rent Expense Supplemental,IS_Rent_Expense_Supplemental_missing_indicator
IS_Rent_And_Landing_Fees,IS_Rent And Landing Fees,IS_Rent_And_Landing_Fees_missing_indicator
BS_Goodwill_And_Other_Intangible_Assets,BS_Goodwill And Other Intangible Assets,BS_Goodwill_And_Other_Intangible_Assets_missing_indicator
BS_Cash_Equivalents,BS_Cash Equivalents,BS_Cash_Equivalents_missing_indicator
BS_Allowance_For_Doubtful_Accounts_Receivable,BS_Allowance For Doubtful Accounts Receivable,BS_Allowance_For_Doubtful_Accounts_Receivable_missing_indicator
BS_Capital_Lease_Obligations,BS_Capital Lease Obligations,BS_Capital_Lease_Obligations_missing_indicator
BS_Non_Current_Deferred_Taxes_Assets,BS_Non Current Deferred Taxes Assets,BS_Non_Current_Deferred_Taxes_Assets_missing_indicator
BS_Other_Properties,BS_Other Properties,BS_Other_Properties_missing_indicator
BS_Minority_Interest,BS_Minority Interest,BS_Minority_Interest_missing_indicator
IS_Minority_Interests,IS_Minority Interests,IS_Minority_Interests_missing_indicator
BS_Land_And_Improvements,BS_Land And Improvements,BS_Land_And_Improvements_missing_indicator
BS_Inventory,BS_Inventory,BS_Inventory_missing_indicator
BS_Other_Receivables,BS_Other Receivables,BS_Other_Receivables_missing_indicator
BS_Construction_In_Progress,BS_Construction In Progress,BS_Construction_In_Progress_missing_indicator
IS_Total_Unusual_Items_Excluding_Goodwill,IS_Total Unusual Items Excluding Goodwill,IS_Total_Unusual_Items_Excluding_Goodwill_missing_indicator
IS_Interest_Income_Non_Operating,IS_Interest Income Non Operating,IS_Interest_Income_Non_Operating_missing_indicator
BS_Current_Debt_And_Capital_Lease_Obligation,BS_Current Debt And Capital Lease Obligation,BS_Current_Debt_And_Capital_Lease_Obligation_missing_indicator
IS_Other_Non_Operating_Income_Expenses,IS_Other Non Operating Income Expenses,IS_Other_Non_Operating_Income_Expenses_missing_indicator
BS_Properties,BS_Properties,BS_Properties_missing_indicator
IS_Interest_Expense_Non_Operating,IS_Interest Expense Non Operating,IS_Interest_Expense_Non_Operating_missing_indicator
IS_Selling_And_Marketing_Expense,IS_Selling And Marketing Expense,IS_Selling_And_Marketing_Expense_missing_indicator
BS_Accounts_Receivable,BS_Accounts Receivable,BS_Accounts_Receivable_missing_indicator
BS_Current_Assets,BS_Current Assets,BS_Current_Assets_missing_indicator
BS_Current_Liabilities,BS_Current Liabilities,BS_Current_Liabilities_missing_indicator
BS_Total_Non_Current_Assets,BS_Total Non Current Assets,BS_Total_Non_Current_Assets_missing_indicator
BS_Total_Non_Current_Liabilities_Net_Minority_Interest,BS_Total Non Current Liabilities Net Minority Interest,BS_Total_Non_Current_Liabilities_Net_Minority_Interest_missing_indicator
BS_Working_Capital,BS_Working Capital,BS_Working_Capital_missing_indicator
IS_Gross_Profit,IS_Gross Profit,IS_Gross_Profit_missing_indicator
IS_Otherunder_Preferred_Stock_Dividend,IS_Otherunder Preferred Stock Dividend,IS_Otherunder_Preferred_Stock_Dividend_missing_indicator
IS_EBIT,IS_EBIT,IS_EBIT_missing_indicator
BS_Other_Payable,BS_Other Payable,BS_Other_Payable_missing_indicator
BS_Non_Current_Pension_And_Other_Postretirement_Benefit_Plans,BS_Non Current Pension And Other Postretirement Benefit Plans,BS_Non_Current_Pension_And_Other_Postretirement_Benefit_Plans_missing_indicator
BS_Cash_Cash_Equivalents_And_Short_Term_Investments,BS_Cash Cash Equivalents And Short Term Investments,BS_Cash_Cash_Equivalents_And_Short_Term_Investments_missing_indicator
IS_Net_Non_Operating_Interest_Income_Expense,IS_Net Non Operating Interest Income Expense,IS_Net_Non_Operating_Interest_Income_Expense_missing_indicator
IS_Reconciled_Depreciation,IS_Reconciled Depreciation,IS_Reconciled_Depreciation_missing_indicator
IS_Other_Operating_Expenses,IS_Other Operating Expenses,IS_Other_Operating_Expenses_missing_indicator
earningsGrowth,earningsGrowth,earningsGrowth_missing_indicator
IS_Interest_Expense,IS_Interest Expense,IS_Interest_Expense_missing_indicator
BS_Buildings_And_Improvements,BS_Buildings And Improvements,BS_Buildings_And_Improvements_missing_indicator
BS_Cash_Financial,BS_Cash Financial,BS_Cash_Financial_missing_indicator
BS_Accounts_Payable,BS_Accounts Payable,BS_Accounts_Payable_missing_indicator
BS_Prepaid_Assets,BS_Prepaid Assets,BS_Prepaid_Assets_missing_indicator
BS_Machinery_Furniture_Equipment,BS_Machinery Furniture Equipment,BS_Machinery_Furniture_Equipment_missing_indicator
IS_Net_Interest_Income,IS_Net Interest Income,IS_Net_Interest_Income_missing_indicator
BS_Additional_Paid_In_Capital,BS_Additional Paid In Capital,BS_Additional_Paid_In_Capital_missing_indicator
BS_Gross_PPE,BS_Gross PPE,BS_Gross_PPE_missing_indicator
BS_Share_Issued,BS_Share Issued,BS_Share_Issued_missing_indicator
IS_General_And_Administrative_Expense,IS_General And Administrative Expense,IS_General_And_Administrative_Expense_missing_indicator
IS_Selling_General_And_Administration,IS_Selling General And Administration,IS_Selling_General_And_Administration_missing_indicator
BS_Common_Stock,BS_Common Stock,BS_Common_Stock_missing_indicator
BS_Payables,BS_Payables,BS_Payables_missing_indicator
BS_Retained_Earnings,BS_Retained Earnings,BS_Retained_Earnings_missing_indicator
