feature_original,feature_clean,mandatory_source_file,feature_type,missing_ratio_train,trigger_high_missing,trigger_constant,trigger_near_constant,trigger_high_cardinality,trigger_high_correlation,protected_from_manual_exclusion,in_final_feature_set,protection_policy
sectorKey,sectorKey,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,categorical,0.06446776611694154,False,False,False,False,False,True,True,NEVER_DROP
industryKey,industryKey,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,categorical,0.06446776611694154,False,False,False,True,False,True,True,NEVER_DROP
marketCap,marketCap,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.008995502248875561,False,False,False,False,False,True,True,NEVER_DROP
enterpriseValue,enterpriseValue,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.06446776611694154,False,False,False,False,False,True,True,NEVER_DROP
currentRatio,currentRatio,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.12143928035982009,False,False,False,False,False,True,True,NEVER_DROP
quickRatio,quickRatio,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.12143928035982009,False,False,False,False,False,True,True,NEVER_DROP
totalCash,totalCash,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.06446776611694154,False,False,False,False,False,True,True,NEVER_DROP
returnOnAssets,returnOnAssets,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.095952023988006,False,False,False,False,False,True,True,NEVER_DROP
returnOnEquity,returnOnEquity,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.11094452773613193,False,False,False,False,False,True,True,NEVER_DROP
grossMargins,grossMargins,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.06446776611694154,False,False,False,False,False,True,True,NEVER_DROP
operatingMargins,operatingMargins,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.06446776611694154,False,False,False,False,False,True,True,NEVER_DROP
profitMargins,profitMargins,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.06446776611694154,False,False,False,False,False,True,True,NEVER_DROP
totalRevenue,totalRevenue,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.06596701649175413,False,False,False,False,False,True,True,NEVER_DROP
revenueGrowth,revenueGrowth,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.08545727136431784,False,False,False,False,False,True,True,NEVER_DROP
grossProfits,grossProfits,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.06446776611694154,False,False,False,False,False,True,True,NEVER_DROP
ebitda,ebitda,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.15892053973013492,False,False,False,False,False,True,True,NEVER_DROP
totalDebt,totalDebt,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.06446776611694154,False,False,False,False,False,True,True,NEVER_DROP
debtToEquity,debtToEquity,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.2158920539730135,False,False,False,False,False,True,True,NEVER_DROP
operatingCashflow,operatingCashflow,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.06896551724137931,False,False,False,False,False,True,True,NEVER_DROP
freeCashflow,freeCashflow,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.18590704647676162,False,False,False,False,False,True,True,NEVER_DROP
BS_Current_Assets,BS_Current_Assets,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.4617691154422789,False,False,False,False,False,True,True,NEVER_DROP
BS_Current_Liabilities,BS_Current_Liabilities,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.4617691154422789,False,False,False,False,False,True,True,NEVER_DROP
BS_Total_Assets,BS_Total_Assets,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.38830584707646176,False,False,False,False,False,True,True,NEVER_DROP
BS_Accounts_Payable,BS_Accounts_Payable,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.4017991004497751,False,False,False,False,False,True,True,NEVER_DROP
BS_Accounts_Receivable,BS_Accounts_Receivable,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.46326836581709147,False,False,False,False,False,True,True,NEVER_DROP
IS_Net_Income,IS_Net_Income,C:\S3\Semhas_New_Pipeline\data\mandatory_features.csv,numeric,0.38830584707646176,False,False,False,False,False,True,True,NEVER_DROP
