IDXCode,Company_Name,symbol,shortName,longName,original_index,reference_riskLevel,predicted_riskLevel,predicted_riskLevel_encoded,proba_High Risk,proba_Low Risk,proba_Medium Risk,max_proba,margin,entropy_norm,is_uncertain_max_proba,is_uncertain_margin,is_uncertain_entropy,is_uncertain
B155.JK,Company B155in Conglomerates,BNBR.JK,Bakrie & Brothers Tbk,PT Bakrie & Brothers Tbk,154,High Risk,High Risk,0,0.91572523,0.03965472,0.044620093,0.91572523,0.87110513,0.31617723905065187,False,False,False,False
I378.JK,Company I378in Lumber & Wood Production,IFII.JK,Indonesia Fibreboard Industry T,PT Indonesia Fibreboard Industry Tbk,377,High Risk,High Risk,0,0.91572523,0.03965472,0.044620093,0.91572523,0.87110513,0.31617723905065187,False,False,False,False
S748.JK,Company S748in Building Materials,SMCB.JK,Solusi Bangun Indonesia Tbk,PT Solusi Bangun Indonesia Tbk,747,High Risk,High Risk,0,0.91572523,0.03965472,0.044620093,0.91572523,0.87110513,0.31617723905065187,False,False,False,False
H354.JK,Company H354in Medical Care Facilities,HEAL.JK,Medikaloka Hermina Tbk.,PT Medikaloka Hermina Tbk,353,High Risk,High Risk,0,0.9154987,0.039644912,0.04485645,0.9154987,0.87064224,0.31679872418507526,False,False,False,False
I412.JK,Company I412in Marine Shipping,IPCM.JK,Jasa Armada Indonesia Tbk.,PT Jasa Armada Indonesia Tbk,411,High Risk,High Risk,0,0.9154987,0.039644912,0.04485645,0.9154987,0.87064224,0.31679872418507526,False,False,False,False
B160.JK,Company B160in Packaged Foods,BOBA.JK,Formosa Ingredient Factory Tbk.,PT Formosa Ingredient Factory Tbk,159,High Risk,High Risk,0,0.91533905,0.039528023,0.045132916,0.91533905,0.8702061,0.3172227229913187,False,False,False,False
B172.JK,Company B172in Packaged Foods,BRRC.JK,Raja Roti Cemerlang Tbk.,,171,High Risk,High Risk,0,0.91533905,0.039528023,0.045132916,0.91533905,0.8702061,0.3172227229913187,False,False,False,False
C229.JK,Company C229in Packaged Foods,CRAB.JK,Toba Surimi Industries Tbk.,PT Toba Surimi Industries Tbk,228,High Risk,High Risk,0,0.91533905,0.039528023,0.045132916,0.91533905,0.8702061,0.3172227229913187,False,False,False,False
E289.JK,Company E289in Packaged Foods,ENZO.JK,Morenzo Abadi Perkasa Tbk.,PT Morenzo Abadi Perkasa Tbk,288,High Risk,High Risk,0,0.91533905,0.039528023,0.045132916,0.91533905,0.8702061,0.3172227229913187,False,False,False,False
E298.JK,Company E298in ,ETWA.JK,"ETWA.JK,0P0000AV1H,0",PT Eterindo Wahanatama Tbk,297,High Risk,High Risk,0,0.91533905,0.039528023,0.045132916,0.91533905,0.8702061,0.3172227229913187,False,False,False,False
